Area,Yr,Rec,TB,SB
1,1952,335.965,31727.8,20504
1,1953,195.621,31201.5,19594
1,1954,164.827,28601.6,17991.1
1,1955,157.724,20253.4,12229.2
1,1956,152.356,17059.8,10124.7
1,1957,214.597,15358.6,8449.45
1,1958,284.022,15249.4,7167.85
1,1959,155.604,14176.1,5444.9
1,1960,265.634,14529.5,5513.71
1,1961,151.352,14449.3,6007.41
1,1962,129.427,12428.2,5045.14
1,1963,162.692,11066.4,4885.78
1,1964,134.724,9584.33,3917.83
1,1965,106.349,9478.32,3920.24
1,1966,79.6689,8458.96,3786.13
1,1967,70.5262,6858.31,3160.11
1,1968,125.774,6445.17,2954.93
1,1969,153.834,6857.78,2632.5
1,1970,164.798,7811.75,2431.87
1,1971,151.811,7563.89,1873.85
1,1972,56.9425,6885.33,1804.43
1,1973,234.849,7069.15,2057.57
1,1974,58.9226,6943.19,1908.94
1,1975,52.9058,6477.46,1909.99
1,1976,163.587,6329.27,2685.26
1,1977,113.892,6384.75,2267.73
1,1978,213.643,7807.96,2293.76
1,1979,115.203,8040.24,2316.04
1,1980,193.178,8674.68,2521.63
1,1981,55.5852,9041.11,3404.77
1,1982,163.842,7848.84,2949.39
1,1983,82.3708,6659.59,2379.78
1,1984,94.3815,6503.85,2231.91
1,1985,31.8555,5605.98,2313.06
1,1986,78.701,4561.65,1978.62
1,1987,246.154,5074.49,1539.04
1,1988,81.9425,6036.87,1015.28
1,1989,83.1376,6215.79,1316.75
1,1990,100.876,5313.38,1756.42
1,1991,117.476,5149.47,1553.94
1,1992,145.504,5711.99,1483.25
1,1993,160.433,6717.24,1751.98
1,1994,126.822,7376.48,1988.89
1,1995,95.0317,6626.73,1839.21
1,1996,272.317,7282.31,1960.38
1,1997,168.829,8521.65,1900.43
1,1998,231.036,9924.53,2190.98
1,1999,197.522,10280.8,2695.38
1,2000,64.639,9666.6,2947.74
1,2001,260.747,9688.62,3510.75
1,2002,130.4,9796.68,3521.22
1,2003,118.578,9450.92,3185.55
1,2004,116.704,8025.61,3071.95
1,2005,97.0597,6812.47,2585.17
1,2006,196.079,6829.37,2258.28
1,2007,99.0098,7160.47,2110.86
1,2008,99.479,7252.25,2307.29
1,2009,100.273,6712.99,2625.78
1,2010,102.811,6187.39,2438.51
1,2011,71.7786,5548.48,2062.2
1,2012,84.098,4686.06,1618.04
1,2013,120.064,4251.91,1214.59
1,2014,87.1532,4527.91,1096.8
1,2015,93.4101,4278.61,994.749
1,2016,79.2436,4069.25,1018.07
1,2017,84.2975,4181.98,1134.31
1,2018,52.7728,4056.2,1253.9
1,2019,109.625,3817.43,1147.61
1,2020,180.982,4501.6,937.397
1,2021,148.709,5756.29,872.264
1,2022,103.196,6626.99,1361.84
